Source,Target
narendramodi,LostTemple7
narendramodi,PoddarVaishali
narendramodi,Pallavisms
narendramodi,PrasadKarwa
narendramodi,VarierSangitha
narendramodi,uppuSSinghh
narendramodi,balbir59
narendramodi,BorisJohnson
narendramodi,drmmjoshibjp
narendramodi,SandeepParekh
narendramodi,thakkar_sameet
narendramodi,loksabhaspeaker
narendramodi,fskulaste
narendramodi,Dchautala
narendramodi,kataria4ambala
narendramodi,nityanandraibjp
narendramodi,Phogat_Vinesh
narendramodi,imranirampal
narendramodi,DipaKarmakar
narendramodi,SakshiMalik
narendramodi,NayantaraRai
narendramodi,pranabsamanta
narendramodi,iBackModi
narendramodi,Aish17aer
narendramodi,vin8737
narendramodi,YashvikramTrip
narendramodi,iamberagarwal
narendramodi,kaulsanjay
narendramodi,Arvindgmt
narendramodi,Reetesh777
narendramodi,amitabhnews18
narendramodi,WordsSlay
narendramodi,drashwathcn
narendramodi,issharma_in
narendramodi,deepscribble
narendramodi,nidhitripathi92
narendramodi,arvindneela
narendramodi,sumati_mehrishi
narendramodi,utkarsh_aanand
narendramodi,gunjakapoor
narendramodi,nkgrock
narendramodi,IamNaveenKapoor
narendramodi,neelkanthmishra
narendramodi,manishBJPUP
narendramodi,shalabhmani
narendramodi,abhilashBJPmp
narendramodi,TheSatishDua
narendramodi,PrinceArihan
narendramodi,JournoPranay
narendramodi,KiniColonel
narendramodi,ajitbhinder
narendramodi,imAditiofficial
narendramodi,pn906
narendramodi,priyanka4nation
narendramodi,RanvirShorey
narendramodi,BhatkhalkarA
narendramodi,AshokGoelBJP
narendramodi,Th_Radheshyam
narendramodi,tarunchughbjp
narendramodi,rajeshbhatiabjp
narendramodi,hansrajhansHRH
narendramodi,siddharthanbjp
narendramodi,HardeepSPuri
narendramodi,MODIfied_ankit
narendramodi,aditiraval
narendramodi,AshishSinghNews
narendramodi,ravindrak2000
narendramodi,yoursdharm
narendramodi,PravinAlai
narendramodi,ChownaMeinBJP
narendramodi,bjp4mumbai
narendramodi,singer_shaan
narendramodi,karanjohar
narendramodi,GulPanag
narendramodi,vikasbha
narendramodi,meetuttam
narendramodi,AdnanSamiLive
narendramodi,swatantrabjp
narendramodi,hanumanbeniwal
narendramodi,Iam_Chintamani
narendramodi,astiksinha
narendramodi,girirajpai
narendramodi,ChitraKWagh
narendramodi,apmbjp
narendramodi,megirish2001
narendramodi,indianchan
narendramodi,keyakahe
narendramodi,GSukhpreet
narendramodi,manogyaloiwal
narendramodi,manakgupta
narendramodi,dave_janak
narendramodi,nirahua1
narendramodi,bhupendrachaube
narendramodi,ravishkt
